

ours
results/load9/rel_c1_ours_expire  9.999989999e-01 220458
results/load91/rel_c1_ours_expire  9.999989999e-01 260204
results/load92/rel_c1_ours_expire  9.999989999e-01 238738
results/load93/rel_c1_ours_expire  9.999989999e-01 255928
results/load94/rel_c1_ours_expire  9.999989999e-01 249840
results/load8/rel_c1_ours_expire  9.999989999e-01 321393
results/load81/rel_c1_ours_expire  9.999989999e-01 287559
results/load82/rel_c1_ours_expire  9.999989999e-01 280723
results/load83/rel_c1_ours_expire  9.999989999e-01 281499
results/load7/rel_c1_ours_expire  9.999989999e-01 339762
results/load71/rel_c1_ours_expire  9.999989999e-01 333421
results/load72/rel_c1_ours_expire  9.999989999e-01 337281
results/load73/rel_c1_ours_expire  9.999989999e-01 336657
results/load74/rel_c1_ours_expire  9.999989999e-01 331104
results/load6/rel_c1_ours_expire  9.999989999e-01 340359
results/load5/rel_c1_ours_expire  9.999989999e-01 341372
results/load4/rel_c1_ours_expire  9.999989999e-01 352094
results/load41/rel_c1_ours_expire  9.999989999e-01 342261
results/load42/rel_c1_ours_expire  9.999989999e-01 362502
results/load43/rel_c1_ours_expire  9.999989999e-01 364180
results/load44/rel_c1_ours_expire  9.999989999e-01 344589
results/load45/rel_c1_ours_expire  9.999989999e-01 343652
results/load46/rel_c1_ours_expire  9.999989999e-01 362473
results/load3/rel_c1_ours_expire  9.999989999e-01 366017
results/load31/rel_c1_ours_expire  9.999989999e-01 369165
results/load32/rel_c1_ours_expire  9.999989999e-01 366917
results/load33/rel_c1_ours_expire  9.999989999e-01 367914
results/load34/rel_c1_ours_expire  9.999989999e-01 369581


ours
results/load84/rel_c1_ours_expire  9.999989999e-01 246420
results/load85/rel_c1_ours_expire  9.999989999e-01 245221
results/load86/rel_c1_ours_expire  9.999989999e-01 256353
results/load87/rel_c1_ours_expire  9.999989999e-01 244584


ours
results/load84/rel_c1_ours  9.999989999e-01 243196
results/load85/rel_c1_ours  9.999989999e-01 239511
results/load86/rel_c1_ours  9.999989999e-01 250727
results/load87/rel_c1_ours  9.999989999e-01 243338


ours
results/load84/rel_c1_pdvfs  9.999989999e-01 202577
results/load85/rel_c1_pdvfs  9.999989999e-01 217016
results/load87/rel_c1_pdvfs  9.999989999e-01 228313


ours
results/load84/rel_c1_ndvfs  9.999989999e-01 199156
results/load85/rel_c1_ndvfs  9.999989999e-01 207197
results/load86/rel_c1_ndvfs  9.999989999e-01 213344
results/load87/rel_c1_ndvfs  9.999989999e-01 214278


ours
results/load75/rel_c1_ndvfs  9.999989999e-01 222184
results/load76/rel_c1_ndvfs  9.999989999e-01 243860
results/load77/rel_c1_ndvfs  9.999989999e-01 235495
results/load78/rel_c1_ndvfs  9.999989999e-01 201115
results/load61/rel_c1_ndvfs  9.999989999e-01 209744
